Nickname,bandgap(eV),c_smiles,newSMILES
PBTDN,2.22,CCCCCCCCCCOc1c(C)ccc2c(OCCCCCCCCCC)c(-c3ccc(/C=C/c4ccc(C)s4)s3)ccc12,COc1c(C)ccc2c(OC)c(ccc12)-c1ccc(\C=C\c2ccc(s2)-c2ccc3c(OC)c(ccc3c2OC)-c2ccc(\C=C\c3ccc(C)s3)s2)s1
PCzDBSe,1.73,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5n[se]nc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3n[se]nc23)c2n[se]nc12
PCDTBT,1.88,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nsnc23)c2nsnc12
PCDTQx,2.02,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nonc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nonc23)c2nonc12
P2,1.91,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nccnc45)s3)cc21,Cc1ccc(s1)-c1nnc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2nnc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nccnc23)c2nccnc12
P2,1.63,CCCCCCc1cc2c(s1)C(=O)c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2sc(C)c3c2C(=O)c2cc(C)sc2C3=O)c2c1C(=O)c1cc(C)sc1C2=O
H6,2.06,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(C)s1
PBDTNTDO-2,1.83,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)c3ccc(C(C)(C)C)cc3C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3c2C(=O)c2ccc(C)cc2C3=O)c2c1C(=O)c1ccc(C)cc1C2=O
PBTADN,2.02,CCCCCCCCCCOc1c(C)ccc2c(OCCCCCCCCCC)c(-c3ccc(/C=C(\C#N)c4ccc(C)s4)s3)ccc12,COc1c(C)ccc2c(OC)c(ccc12)-c1ccc(\C=C(/C#N)c2ccc(s2)-c2ccc3c(OC)c(ccc3c2OC)-c2ccc(\C=C(/C#N)c3ccc(C)s3)s2)s1
P(PTQD-2Th),1.7,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(-c4ccc(C)s4)s2)cc1c1cc(C)sc13,CN1C(=O)c2nc3c4sc(C)cc4c4cc(sc4c3nc2C1=O)-c1ccc(s1)-c1ccc(s1)-c1cc2c3cc(sc3c3nc4C(=O)N(C)C(=O)c4nc3c2s1)-c1ccc(s1)-c1ccc(C)s1
P-Ge,1.69,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Ge]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c2C1=O,CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(cc3[Ge]4(C)C)-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Ge]5(C)C)c4C(=O)N(C)C(=O)c34)c2C1=O
PDTSTPD,1.69,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(C)C)c4C(=O)N(C)C(=O)c34)c2C1=O
PBTCT,2.18,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3CC(C(=O)OCC)(C(=O)OCC)C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COC(=O)C1(Cc2c(C)sc(c2C1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(c2CC(Cc12)(C(=O)OC)C(=O)OC)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1)C(=O)OC
P2,2.1,CCCCCCc1c(C)sc(-c2nnc(-c3sc(-c4ccc(C)s4)c(CCCCCC)c3CCCCCC)s2)c1CCCCCC,Cc1ccc(s1)-c1sc(c(C)c1C)-c1nnc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1sc(c(C)c1C)-c1nnc(s1)-c1sc(C)c(C)c1C
PCDTTPP,1.89,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nccnc45)s3)cc21,Cc1ccc(s1)-c1ncc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ncc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nccnc23)c2nccnc12
P1,2.29,CCCCCCc1c(C)sc(-c2nnc(-c3sc(-c4ccc(C)s4)c(CCCCCC)c3CCCCCC)o2)c1CCCCCC,Cc1ccc(s1)-c1sc(c(C)c1C)-c1nnc(o1)-c1sc(c(C)c1C)-c1ccc(s1)-c1sc(c(C)c1C)-c1nnc(o1)-c1sc(C)c(C)c1C
PSBTSPD-C8 (P9),1.68,CCCCCCCCN1C(=O)c2c(C)[se]c(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,CN1C(=O)c2c(C)[se]c(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3[se]c(-c4cc5c(s4)-c4sc(C)cc4[Si]5(C)C)c4C(=O)N(C)C(=O)c34)c2C1=O
PTPDSi-C8,1.73,CCCCC(CC)CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c2C1=O,CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(C)C)c4C(=O)N(C)C(=O)c34)c2C1=O
BDF(2EH/C7),1.97,CCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)c2C1=O,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12
PDTC,1.67,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3C4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(cc3C4(C)C)-c3sc(-c4cc5c(s4)-c4sc(C)cc4C5(C)C)c4C(=O)N(C)C(=O)c34)c2C1=O
P-Si,1.73,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c2C1=O,CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(cc3[Si]4(C)C)-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(C)C)c4C(=O)N(C)C(=O)c34)c2C1=O
PBDFTT-CF-O,1.51,CCCCC(CC)COc1c2cc(-c3sc(C)c4c(F)c(C(=O)C(CC)CCCC)sc34)oc2c(OCC(CC)CCCC)c2cc(C)oc12,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3c(F)c(sc23)C(C)=O)c2c(F)c(sc12)C(C)=O
PtFBTPDTS,1.39,CCCCCCCC[Si]1(CCCCCCCC)C2=C(SC(=C2)c2cc3-c4cc(F)ccc4\C(=C4\c5ccc(F)cc5-c5cc(C)sc45)c3s2)c2sc(C)cc12,Cc1cc2-c3cc(F)ccc3\C(=C3\c4ccc(F)cc4-c4cc(sc34)C3=CC4=C(S3)C3=C(C=C(S3)c3cc5-c6cc(F)ccc6\C(=C6\c7ccc(F)cc7-c7cc(sc67)C6=CC7=C(S6)c6sc(C)cc6[Si]7(C)C)c5s3)[Si]4(C)C)c2s1
PBDFTT-CF,1.52,CCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)c(F)c34)oc2c(OCCCCCCCC)c2cc(C)oc12,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3sc(C(C)=O)c(F)c23)c2sc(C(C)=O)c(F)c12
PBTIGe-C6,1.75,CCCCCCn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(s3)-c3sc(C)cc3[Ge]4(CC(CC)CCCC)C[C@@H](CC)CCCC)cc2c1=O,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1cc2c(s1)c1sc(cc1c(=O)n(C)c2=O)-c1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1cc2c(s1)c1sc(C)cc1c(=O)n(C)c2=O
PBDFTT-C,1.48,CCCCC(CC)COc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)oc2c(OCC(CC)CCCC)c2cc(C)oc12,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3sc(cc23)C(C)=O)c2sc(cc12)C(C)=O
PBTTz,1.73,CCCCCCCCc1nc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2s1,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3sc(C)nc23)c2sc(C)nc12
PCDTBX,1.87,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nccnc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nccnc23)c2nccnc12
PBTISi-C6,1.75,CCCCCCn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)cc2c1=O,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1cc2c(s1)c1sc(cc1c(=O)n(C)c2=O)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1cc2c(s1)c1sc(C)cc1c(=O)n(C)c2=O
PBDTTT-C,1.61,CCCCC(CC)COc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3sc(cc23)C(C)=O)c2sc(cc12)C(C)=O
PBDFTT-C,1.53,CCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)oc2c(OCCCCCCCC)c2cc(C)oc12,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3sc(cc23)C(C)=O)c2sc(cc12)C(C)=O
PBDTTT-CF,1.65,CCCCCCCC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3c(F)c(sc23)C(C)=O)c2c(F)c(sc12)C(C)=O
PBDTTT-C,1.6,CCCCC(CC)COc1c2cc(-c3sc(C)c4cc(C(=O)C(CC)CCCC)sc34)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3cc(sc23)C(C)=O)c2cc(sc12)C(C)=O
PDTP,1.59,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)c3sc(C)cc3n4C(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,CN1C(=O)c2c(C)sc(-c3cc4n(C)c5cc(sc5c4s3)-c3sc(-c4cc5n(C)c6cc(C)sc6c5s4)c4C(=O)N(C)C(=O)c34)c2C1=O
P1,2.07,CCCCCCCCCCc1ccc(C#Cc2c3cc(C)oc3c(C#Cc3ccc(CCCCCCCCCC)cc3)c3cc(C)oc23)cc1,Cc1cc2c(C#Cc3ccccc3)c3oc(cc3c(C#Cc3ccccc3)c2o1)-c1cc2c(C#Cc3ccccc3)c3oc(cc3c(C#Cc3ccccc3)c2o1)-c1cc2c(C#Cc3ccccc3)c3oc(C)cc3c(C#Cc3ccccc3)c2o1
P1,1.78,CCCCCCc1cc2c(s1)C(=O)c1c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c1C2=O,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3c2C(=O)c2cc(C)sc2C3=O)c2c1C(=O)c1cc(C)sc1C2=O
PK,1.31,CCCCCCCCSc1cc(-c2cc(SCCCCCCCC)c(-c3sc(C)c4cc(C(=O)CCCCCCCC)sc34)s2)sc1C,CSc1cc(sc1C)-c1cc(SC)c(s1)-c1sc(-c2sc(cc2SC)-c2cc(SC)c(s2)-c2sc(C)c3cc(sc23)C(C)=O)c2cc(sc12)C(C)=O
PSB-CPDTO (P2),1.72,CCCCCCCC(=O)c1cc2c(s1)-c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,CC(=O)c1cc2C(=O)c3c(sc(C)c3-c2s1)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(-c2cc3c(s2)-c2sc(C)cc2[Si]3(C)C)c2C(=O)c3cc(sc3-c12)C(C)=O
PDTSNTDO.,1.65,CCCCCCc1ccc2c(c1)C(=O)c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(C(CC)CCCCC)C(CC)CCCCC)c1C2=O,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2sc(C)c3c2C(=O)c2ccc(C)cc2C3=O)c2c1C(=O)c1ccc(C)cc1C2=O
PQT-12,1.93,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1,Cc1cc(C)c(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C
TP1,1.61,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s3)cc21,Cc1ccc(s1)-c1sc(-c2ccc(s2)-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2ccc(s2)-c2sc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5C(C)(C)c4c3)c3nc(C)c(C)nc23)c2nc(C)c(C)nc12
TPO(CO)(2EH/C3),1.79,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(C(=O)CCC)C5=O)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4C(=O)N(C(C)=O)C(=O)c34)c2C1=O
P2,1.68,CCCCCCc1nc(-c2nc(CCCCCC)c(-c3ccc(-c4cc5c(s4)c4sc(C)cc4n5CC(CC)CCCC)s3)s2)sc1-c1ccc(C)s1,Cc1ccc(s1)-c1sc(nc1C)-c1nc(C)c(s1)-c1ccc(s1)-c1cc2n(C)c3cc(sc3c2s1)-c1ccc(s1)-c1sc(nc1C)-c1nc(C)c(s1)-c1ccc(s1)-c1cc2n(C)c3cc(C)sc3c2s1
P1,1.72,CCCCCCCCCCc1ccc(C#Cc2c3cc(C)sc3c(C#Cc3ccc(CCCCCCCCCC)cc3)c3cc(C)sc23)cc1,Cc1cc2c(C#Cc3ccccc3)c3sc(cc3c(C#Cc3ccccc3)c2s1)-c1cc2c(C#Cc3ccccc3)c3sc(cc3c(C#Cc3ccccc3)c2s1)-c1cc2c(C#Cc3ccccc3)c3sc(C)cc3c(C#Cc3ccccc3)c2s1
PBDTTPD,1.8,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OC[C@@H](CC)CCCC)c4s3)c2C1=O,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12
BDT(2EH/C8),1.85,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12
H9,1.05,CCCCCCCCCCCCOc1c2cc(-c3sc(C)c4nccnc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3nccnc23)c2nccnc12
PTB3,1.63,CCCCCCCCc1c2cc(-c3sc(C)c4cc(C(=O)OCC(CC)CCCC)sc34)sc2c(CCCCCCCC)c2cc(C)sc12,COC(=O)c1cc2c(C)sc(-c3cc4c(C)c5sc(cc5c(C)c4s3)-c3sc(-c4cc5c(C)c6sc(C)cc6c(C)c5s4)c4sc(cc34)C(=O)OC)c2s1
PPB2,1.84,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)N(CC(CC)CCCC)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12
PEBTBT,1.37,CCCCCCCCCCCCc1cc(C)sc1/C=C/c1sc(-c2ccc(C)c3nsnc23)cc1CCCCCCCCCCCC,Cc1cc(C)c(\C=C\c2sc(cc2C)-c2ccc(-c3cc(C)c(\C=C\c4sc(cc4C)-c4ccc(C)c5nsnc45)s3)c3nsnc23)s1
PE,1.31,CCCCCCCCOC(=O)c1cc2c(C)sc(-c3sc(-c4cc(SCCCCCCCC)c(C)s4)cc3SCCCCCCCC)c2s1,COC(=O)c1cc2c(C)sc(-c3sc(cc3SC)-c3cc(SC)c(s3)-c3sc(-c4sc(cc4SC)-c4cc(SC)c(C)s4)c4sc(cc34)C(=O)OC)c2s1
PTVtBBO,2.04,C/C=C/c1sc(/C=C/c2nc3cc4oc(C)nc4cc3o2)c(CCCCCCCCCCCC)c1CCCCCCCCCCCC,C\C=C\c1sc(\C=C\c2nc3cc4oc(\C=C\c5sc(\C=C\c6nc7cc8oc(C)nc8cc7o6)c(C)c5C)nc4cc3o2)c(C)c1C
H7,1.7,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nsnc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
P4TDTBT,1.6,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)s3)sc2C)s1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2sc(cc2-c2cccs2)-c2cc(-c3cccs3)c(s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3sc(cc3-c3cccs3)-c3cc(c(C)s3)-c3cccs3)c3nsnc23)c2nsnc12
PTVcBBO,2.17,C/C=C/c1sc(/C=C/c2nc3cc4nc(C)oc4cc3o2)c(CCCCCCCCCCCC)c1CCCCCCCCCCCC,C\C=C\c1sc(\C=C\c2nc3cc4nc(\C=C\c5sc(\C=C\c6nc7cc8nc(C)oc8cc7o6)c(C)c5C)oc4cc3o2)c(C)c1C
H11,1.52,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4n[se]nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(C)c3n[se]nc23)c2n[se]nc12
BDF(2EH/C8),1.97,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)c2C1=O,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12
PFDTMBI,1.64,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5c4=NC(C)(C)N=5)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5C(C)(C)c4c3)c3=NC(C)(C)N=c23)c2=NC(C)(C)N=c12
PID2,1.85,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3S(=O)(=O)N(CC(CC)CCCC)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)N(C)S(=O)(=O)c23)c2C(=O)N(C)S(=O)(=O)c12
PPDT4,2.03,CCCCCCc1cc(C)sc1-c1sc(-c2cc3c(=O)n(CC(CCCC)CCCCCC)c4cc(C)sc4c3s2)cc1CCCCCC,Cc1cc(C)c(s1)-c1sc(cc1C)-c1cc2c(s1)c1sc(cc1n(C)c2=O)-c1cc(C)c(s1)-c1sc(cc1C)-c1cc2c(s1)c1sc(C)cc1n(C)c2=O
PID1,1.81,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2S1(=O)=O,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)N(C)S(=O)(=O)c23)c2C(=O)N(C)S(=O)(=O)c12
PSeB2,1.6,CCCCC(CC)COC(=O)c1cc2c(-c3cc4c(OCC(CC)CCCC)c5[se]c(C)cc5c(OCC(CC)CCCC)c4[se]3)[se]c(C)c2[se]1,COC(=O)c1cc2c([se]c(C)c2[se]1)-c1cc2c(OC)c3[se]c(cc3c(OC)c2[se]1)-c1[se]c(-c2cc3c(OC)c4[se]c(C)cc4c(OC)c3[se]2)c2cc([se]c12)C(=O)OC
PTB7,1.72,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(-c2cc3c(OC)c4sc(C)cc4c(OC)c3s2)c2sc(C(=O)OC)c(F)c12
PTBF3,1.73,CCCCC(CC)COC(=O)c1sc2c(-c3sc4c(OCC(CC)CCCC)c5c(F)c(C)sc5c(OCC(CC)CCCC)c4c3F)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1sc2c(OC)c3c(F)c(sc3c(OC)c2c1F)-c1sc(-c2sc3c(OC)c4c(F)c(C)sc4c(OC)c3c2F)c2sc(C(=O)OC)c(F)c12
PTB5,1.62,CCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2s1,COC(=O)c1cc2c(C)sc(-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3sc(-c4cc5c(OC)c6sc(C)cc6c(OC)c5s4)c4sc(cc34)C(=O)OC)c2s1
PTB4,1.63,CCCCCCCCOc1c2cc(-c3sc(C)c4c(F)c(C(=O)OCC(CC)CCCC)sc34)sc2c(OCCCCCCCC)c2cc(C)sc12,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(-c2cc3c(OC)c4sc(C)cc4c(OC)c3s2)c2sc(C(=O)OC)c(F)c12
PBDFTT-S,1.61,CCCCCCCCOc1c2cc(-c3sc(C)c4sc(S(=O)(=O)CC(CC)CCCC)cc34)oc2c(OCCCCCCCC)c2cc(C)oc12,COc1c2cc(oc2c(OC)c2cc(C)oc12)-c1sc(-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2sc(C)c3sc(cc23)S(C)(=O)=O)c2sc(cc12)S(C)(=O)=O
PTB2,1.59,CCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)OCC(CC)CCCC)cc34)sc2c(OCCCCCCCC)c2cc(C)sc12,COC(=O)c1cc2c(sc(C)c2s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(-c2cc3c(OC)c4sc(C)cc4c(OC)c3s2)c2cc(sc12)C(=O)OC
